diseaseClasses_DO,diseaseClasses_HPO,diseaseClasses_MSH,diseaseClasses_UMLS_ST,diseaseCodes,name,search_rank,synonyms,type
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MONDO, code=0000615), DiseaseCodeDTO(vocabulary=UMLS, code=C4733094)]",PR-positive breast cancer,9541.533,"[DiseaseSynonymDTO(name=PR-positive breast cancer, isPTI=false), DiseaseSynonymDTO(name=PR+ breast cancer, isPTI=false), DiseaseSynonymDTO(name=progesterone receptor-positive breast cancer, isPTI=true), DiseaseSynonymDTO(name=Progesterone receptor positive breast cancer, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MONDO, code=0006512), DiseaseCodeDTO(vocabulary=EFO, code=1000649), DiseaseCodeDTO(vocabulary=UMLS, code=C2938924)]",estrogen receptor-positive breast cancer,9398.799,"[DiseaseSynonymDTO(name=estrogen receptor-positive breast cancer, isPTI=true), DiseaseSynonymDTO(name=ER-positive breast cancer, isPTI=false), DiseaseSynonymDTO(name=ER+ breast cancer, isPTI=false), DiseaseSynonymDTO(name=Oestrogen receptor positive breast cancer, isPTI=false), DiseaseSynonymDTO(name=Estrogen receptor positive breast cancer, isPTI=false)]",disease
[],[],"[Neoplasms (C04), Skin and Connective Tissue Diseases (C17)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=NCI, code=C53556), DiseaseCodeDTO(vocabulary=MONDO, code=0006244), DiseaseCodeDTO(vocabulary=EFO, code=1000294), DiseaseCodeDTO(vocabulary=UMLS, code=C1960398)]",HER2-positive carcinoma of breast,8695.507,"[DiseaseSynonymDTO(name=HER2-positive carcinoma of breast, isPTI=true), DiseaseSynonymDTO(name=HER2 Overexpressing Subtype of Breast Carcinoma, isPTI=false), DiseaseSynonymDTO(name=HER2 Overexpressing Breast Carcinoma, isPTI=false), DiseaseSynonymDTO(name=ERBB2 Overexpressing Subtype of Breast Carcinoma, isPTI=false), DiseaseSynonymDTO(name=breast neoplasm malignant her2-positive, isPTI=false), DiseaseSynonymDTO(name=HER-2 positive malignant carcinoma of breast, isPTI=true), DiseaseSynonymDTO(name=HER-2 positive malignant carcinoma of breast (diagnosis), isPTI=false), DiseaseSynonymDTO(name=HER2 Positive Breast Cancer, isPTI=false), DiseaseSynonymDTO(name=HER2-positive carcinoma of breast (disorder), isPTI=false), DiseaseSynonymDTO(name=Human epidermal growth factor 2 positive carcinoma of breast (disorder), isPTI=false), DiseaseSynonymDTO(name=Human epidermal growth factor 2 positive carcinoma of breast, isPTI=false), DiseaseSynonymDTO(name=HER2-positive breast cancer, isPTI=true), DiseaseSynonymDTO(name=HER2+ breast cancer, isPTI=false), DiseaseSynonymDTO(name=HER2/neu-positive breast cancer, isPTI=false), DiseaseSynonymDTO(name=HER2-Positive Breast Carcinoma, isPTI=true), DiseaseSynonymDTO(name=HER2 Positive Breast Carcinoma, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=UMLS, code=C4733092)]",ER-negative breast cancer,8112.1123,"[DiseaseSynonymDTO(name=ER-negative breast cancer, isPTI=false), DiseaseSynonymDTO(name=estrogen receptor-negative breast cancer, isPTI=true), DiseaseSynonymDTO(name=ER- breast cancer, isPTI=false)]",disease
[],[],[],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=UMLS, code=C4733093)]",PR- breast cancer,7404.208,"[DiseaseSynonymDTO(name=PR- breast cancer, isPTI=false), DiseaseSynonymDTO(name=progesterone receptor-negative breast cancer, isPTI=true), DiseaseSynonymDTO(name=PR-negative breast cancer, isPTI=false)]",disease
[],"[Neoplasm (02664), Abnormality of the genitourinary system (00119)]","[Neoplasms (C04), Urogenital Diseases (C12)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D002583), DiseaseCodeDTO(vocabulary=OMIM, code=603956), DiseaseCodeDTO(vocabulary=HPO, code=HP:0030079), DiseaseCodeDTO(vocabulary=DO, code=4362), DiseaseCodeDTO(vocabulary=MONDO, code=0002974), DiseaseCodeDTO(vocabulary=EFO, code=0001061), DiseaseCodeDTO(vocabulary=EFO, code=0001416), DiseaseCodeDTO(vocabulary=UMLS, code=C4048328)]","Cancer, Cervical",4559.824,"[DiseaseSynonymDTO(name=Cancer, Cervical, isPTI=false), DiseaseSynonymDTO(name=Cervical Cancers, isPTI=false), DiseaseSynonymDTO(name=cervix cancer, isPTI=false), DiseaseSynonymDTO(name=cervical cancer, isPTI=false), DiseaseSynonymDTO(name=Cancer of cervix, isPTI=false), DiseaseSynonymDTO(name=cervical cancer (diagnosis), isPTI=false), DiseaseSynonymDTO(name=cervical ca, isPTI=false), DiseaseSynonymDTO(name=uterine cervix cancer, isPTI=false), DiseaseSynonymDTO(name=cancer of the cervix, isPTI=false), DiseaseSynonymDTO(name=Cancer, Cervix, isPTI=false), DiseaseSynonymDTO(name=Cervix uteri--Cancer, isPTI=true), DiseaseSynonymDTO(name=Ca cervix, isPTI=false), DiseaseSynonymDTO(name=Cancer of the Uterine Cervix, isPTI=false), DiseaseSynonymDTO(name=Uterine Cervical Cancer, isPTI=false), DiseaseSynonymDTO(name=Cancer, Uterine Cervical, isPTI=false), DiseaseSynonymDTO(name=Cervical Cancer, Uterine, isPTI=false), DiseaseSynonymDTO(name=Uterine Cervical Cancers, isPTI=false)]",disease
"[disease of cellular proliferation (14566), disease of anatomical entity (7)]",[],"[Stomatognathic Diseases (C07), Otorhinolaryngologic Diseases (C09), Neoplasms (C04)]",[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D009303), DiseaseCodeDTO(vocabulary=DO, code=9261), DiseaseCodeDTO(vocabulary=MONDO, code=0005375), DiseaseCodeDTO(vocabulary=MONDO, code=0015459), DiseaseCodeDTO(vocabulary=EFO, code=0004252), DiseaseCodeDTO(vocabulary=UMLS, code=C0238301)]","Cancer, Nasopharyngeal",4464.2627,"[DiseaseSynonymDTO(name=Cancer, Nasopharyngeal, isPTI=false), DiseaseSynonymDTO(name=Cancers, Nasopharyngeal, isPTI=false), DiseaseSynonymDTO(name=Nasopharyngeal Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancers, Nasopharynx, isPTI=false), DiseaseSynonymDTO(name=Nasopharynx Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancer, Nasopharynx, isPTI=false), DiseaseSynonymDTO(name=Cancer of Nasopharynx, isPTI=false), DiseaseSynonymDTO(name=Nasopharyngeal cancer, isPTI=false), DiseaseSynonymDTO(name=Nasopharynx--Cancer, isPTI=true), DiseaseSynonymDTO(name=Cancer of the Nasopharynx, isPTI=false), DiseaseSynonymDTO(name=Nasopharynx Cancer, isPTI=false), DiseaseSynonymDTO(name=CA - Cancer of nasopharynx, isPTI=false)]",disease
[],[],[Neoplasms (C04)],[Neoplastic Process (T191)],"[DiseaseCodeDTO(vocabulary=MSH, code=D010386), DiseaseCodeDTO(vocabulary=NCI, code=C156715), DiseaseCodeDTO(vocabulary=UMLS, code=C0751416)]",Pelvic Cancer,4442.05,"[DiseaseSynonymDTO(name=Pelvic Cancer, isPTI=false), DiseaseSynonymDTO(name=Cancer, Pelvic, isPTI=false), DiseaseSynonymDTO(name=Cancers, Pelvic, isPTI=false), DiseaseSynonymDTO(name=Pelvic Cancers, isPTI=false), DiseaseSynonymDTO(name=Cancers, Pelvis, isPTI=false), DiseaseSynonymDTO(name=Pelvis Cancers, isPTI=false), DiseaseSynonymDTO(name=cancer of pelvis, isPTI=false), DiseaseSynonymDTO(name=cancer pelvic, isPTI=false), DiseaseSynonymDTO(name=cancer pelvis, isPTI=false), DiseaseSynonymDTO(name=cancer of the pelvis, isPTI=false), DiseaseSynonymDTO(name=pelvis cancer, isPTI=false), DiseaseSynonymDTO(name=Cancer, Pelvis, isPTI=false), DiseaseSynonymDTO(name=Pelvis--Cancer, isPTI=true), DiseaseSynonymDTO(name=Malignant Pelvic Neoplasm, isPTI=true)]",disease
[disease of mental health (150)],[],[Mental Disorders (F03)],[Mental or Behavioral Dysfunction (T048)],"[DiseaseCodeDTO(vocabulary=MSH, code=C000719212), DiseaseCodeDTO(vocabulary=NCI, code=C35492), DiseaseCodeDTO(vocabulary=DO, code=602), DiseaseCodeDTO(vocabulary=MONDO, code=0003736), DiseaseCodeDTO(vocabulary=EFO, code=1001879), DiseaseCodeDTO(vocabulary=UMLS, code=C0233705)]",Cancerophobia,4422.9917,"[DiseaseSynonymDTO(name=Cancerophobia, isPTI=false), DiseaseSynonymDTO(name=Fear (of);cancer, isPTI=true), DiseaseSynonymDTO(name=cancerphobia, isPTI=false), DiseaseSynonymDTO(name=fear cancer, isPTI=false), DiseaseSynonymDTO(name=cancer fear, isPTI=false), DiseaseSynonymDTO(name=cancer phobia, isPTI=true), DiseaseSynonymDTO(name=fear of cancer, isPTI=false), DiseaseSynonymDTO(name=Cancer phobia (finding), isPTI=false), DiseaseSynonymDTO(name=Cancer phobia (disorder), isPTI=false), DiseaseSynonymDTO(name=Ca phobia, isPTI=false), DiseaseSynonymDTO(name=Fear of getting cancer, isPTI=true), DiseaseSynonymDTO(name=Phobia, cancer, isPTI=false), DiseaseSynonymDTO(name=Fear of getting cancer (finding), isPTI=false), DiseaseSynonymDTO(name=Phobia;cancer, isPTI=true)]",disease
